datetime,count
2011-01-20 00:00:00,14.9
2011-01-20 01:00:00,6.0
2011-01-20 02:00:00,5.9
2011-01-20 03:00:00,2.5
2011-01-20 04:00:00,1.9
2011-01-20 05:00:00,9.7
2011-01-20 06:00:00,34.3
2011-01-20 07:00:00,88.7
2011-01-20 08:00:00,206.4
2011-01-20 09:00:00,130.8
2011-01-20 10:00:00,56.5
2011-01-20 11:00:00,58.1
2011-01-20 12:00:00,83.7
2011-01-20 13:00:00,76.7
2011-01-20 14:00:00,72.1
2011-01-20 15:00:00,74.9
2011-01-20 16:00:00,98.9
2011-01-20 17:00:00,191.2
2011-01-20 18:00:00,159.9
2011-01-20 19:00:00,116.3
2011-01-20 20:00:00,68.8
2011-01-20 21:00:00,50.6
2011-01-20 22:00:00,40.3
2011-01-20 23:00:00,22.2
2011-01-21 00:00:00,12.9
2011-01-21 01:00:00,7.5
2011-01-21 02:00:00,5.9
2011-01-21 03:00:00,3.3
2011-01-21 04:00:00,2.9
2011-01-21 05:00:00,7.2
2011-01-21 06:00:00,34.0
2011-01-21 07:00:00,89.1
2011-01-21 08:00:00,200.3
2011-01-21 09:00:00,129.7
2011-01-21 10:00:00,29.3
2011-01-21 11:00:00,48.3
2011-01-21 12:00:00,56.3
2011-01-21 13:00:00,42.4
2011-01-21 14:00:00,42.4
2011-01-21 15:00:00,42.4
2011-01-21 16:00:00,62.2
2011-01-21 17:00:00,145.7
2011-01-21 18:00:00,137.9
2011-01-21 19:00:00,119.5
2011-01-21 20:00:00,65.1
2011-01-21 21:00:00,47.4
2011-01-21 22:00:00,33.7
2011-01-21 23:00:00,19.4
2011-01-22 00:00:00,22.9
2011-01-22 01:00:00,19.5
2011-01-22 02:00:00,10.6
2011-01-22 03:00:00,8.8
2011-01-22 04:00:00,2.6
2011-01-22 06:00:00,5.6
2011-01-22 07:00:00,15.6
2011-01-22 08:00:00,21.5
2011-01-22 09:00:00,32.9
2011-01-22 10:00:00,59.4
2011-01-22 11:00:00,62.6
2011-01-22 12:00:00,69.1
2011-01-22 13:00:00,74.5
2011-01-22 14:00:00,70.4
2011-01-22 15:00:00,69.3
2011-01-22 16:00:00,74.2
2011-01-22 17:00:00,81.4
2011-01-22 18:00:00,62.6
2011-01-22 19:00:00,53.8
2011-01-22 20:00:00,48.8
2011-01-22 21:00:00,39.1
2011-01-22 22:00:00,29.9
2011-01-22 23:00:00,14.8
2011-01-23 00:00:00,24.9
2011-01-23 01:00:00,18.0
2011-01-23 02:00:00,13.7
2011-01-23 03:00:00,16.1
2011-01-23 05:00:00,2.8
2011-01-23 06:00:00,4.9
2011-01-23 07:00:00,14.7
2011-01-23 08:00:00,19.8
2011-01-23 09:00:00,34.2
2011-01-23 10:00:00,49.7
2011-01-23 11:00:00,58.8
2011-01-23 12:00:00,67.4
2011-01-23 13:00:00,67.4
2011-01-23 14:00:00,71.1
2011-01-23 15:00:00,70.0
2011-01-23 16:00:00,74.2
2011-01-23 17:00:00,84.3
2011-01-23 18:00:00,77.8
2011-01-23 19:00:00,59.9
2011-01-23 20:00:00,43.8
2011-01-23 21:00:00,37.2
2011-01-23 22:00:00,29.7
2011-01-23 23:00:00,13.6
2011-01-24 00:00:00,16.8
2011-01-24 01:00:00,8.0
2011-01-24 03:00:00,2.0
2011-01-24 04:00:00,2.2
2011-01-24 05:00:00,8.6
2011-01-24 06:00:00,31.3
2011-01-24 07:00:00,81.7
2011-01-24 08:00:00,183.3
