datetime,count
2011-01-20 00:00:00,10.5
2011-01-20 01:00:00,7.5
2011-01-20 02:00:00,5.2
2011-01-20 03:00:00,3.3
2011-01-20 04:00:00,2.9
2011-01-20 05:00:00,7.0
2011-01-20 06:00:00,35.5
2011-01-20 07:00:00,85.0
2011-01-20 08:00:00,188.7
2011-01-20 09:00:00,113.8
2011-01-20 10:00:00,60.8
2011-01-20 11:00:00,64.2
2011-01-20 12:00:00,73.9
2011-01-20 13:00:00,80.7
2011-01-20 14:00:00,76.2
2011-01-20 15:00:00,76.9
2011-01-20 16:00:00,92.9
2011-01-20 17:00:00,201.7
2011-01-20 18:00:00,141.6
2011-01-20 19:00:00,92.2
2011-01-20 20:00:00,62.8
2011-01-20 21:00:00,50.0
2011-01-20 22:00:00,41.1
2011-01-20 23:00:00,25.5
2011-01-21 00:00:00,6.9
2011-01-21 01:00:00,7.2
2011-01-21 02:00:00,6.8
2011-01-21 03:00:00,2.9
2011-01-21 04:00:00,3.5
2011-01-21 05:00:00,4.7
2011-01-21 06:00:00,33.0
2011-01-21 07:00:00,76.6
2011-01-21 08:00:00,191.3
2011-01-21 09:00:00,113.3
2011-01-21 10:00:00,31.9
2011-01-21 11:00:00,53.5
2011-01-21 12:00:00,65.3
2011-01-21 13:00:00,54.1
2011-01-21 14:00:00,54.1
2011-01-21 15:00:00,58.8
2011-01-21 16:00:00,70.0
2011-01-21 17:00:00,155.8
2011-01-21 18:00:00,150.0
2011-01-21 19:00:00,111.9
2011-01-21 20:00:00,49.7
2011-01-21 21:00:00,41.4
2011-01-21 22:00:00,29.2
2011-01-21 23:00:00,20.3
2011-01-22 00:00:00,28.4
2011-01-22 01:00:00,15.9
2011-01-22 02:00:00,11.3
2011-01-22 03:00:00,12.2
2011-01-22 04:00:00,2.0
2011-01-22 06:00:00,5.3
2011-01-22 07:00:00,14.8
2011-01-22 08:00:00,24.3
2011-01-22 09:00:00,26.6
2011-01-22 10:00:00,41.5
2011-01-22 11:00:00,45.7
2011-01-22 12:00:00,76.1
2011-01-22 13:00:00,76.6
2011-01-22 14:00:00,71.2
2011-01-22 15:00:00,79.8
2011-01-22 16:00:00,78.3
2011-01-22 17:00:00,76.2
2011-01-22 18:00:00,63.3
2011-01-22 19:00:00,57.1
2011-01-22 20:00:00,50.0
2011-01-22 21:00:00,40.6
2011-01-22 22:00:00,20.7
2011-01-22 23:00:00,17.0
2011-01-23 00:00:00,31.3
2011-01-23 01:00:00,20.4
2011-01-23 02:00:00,11.3
2011-01-23 03:00:00,12.7
2011-01-23 05:00:00,2.7
2011-01-23 06:00:00,5.5
2011-01-23 07:00:00,13.1
2011-01-23 08:00:00,18.6
2011-01-23 09:00:00,24.7
2011-01-23 10:00:00,46.6
2011-01-23 11:00:00,55.7
2011-01-23 12:00:00,79.7
2011-01-23 13:00:00,82.5
2011-01-23 14:00:00,78.3
2011-01-23 15:00:00,78.4
2011-01-23 16:00:00,78.3
2011-01-23 17:00:00,74.0
2011-01-23 18:00:00,74.0
2011-01-23 19:00:00,54.3
2011-01-23 20:00:00,37.3
2011-01-23 21:00:00,39.6
2011-01-23 22:00:00,26.5
2011-01-23 23:00:00,15.4
2011-01-24 00:00:00,12.8
2011-01-24 01:00:00,6.1
2011-01-24 03:00:00,3.1
2011-01-24 04:00:00,2.9
2011-01-24 05:00:00,7.8
2011-01-24 06:00:00,34.1
2011-01-24 07:00:00,72.7
2011-01-24 08:00:00,161.3
2011-01-24 09:00:00,108.7
2011-01-24 10:00:00,48.2
2011-01-24 11:00:00,31.8
2011-01-24 12:00:00,46.1
2011-01-24 13:00:00,42.4
2011-01-24 14:00:00,34.7
2011-01-24 15:00:00,45.8
2011-01-24 16:00:00,49.3
2011-01-24 17:00:00,144.1
2011-01-24 18:00:00,140.0
2011-01-24 19:00:00,101.1
2011-01-24 20:00:00,65.1
2011-01-24 21:00:00,52.3
2011-01-24 22:00:00,25.2
2011-01-24 23:00:00,24.3
2011-01-25 00:00:00,10.2
2011-01-25 01:00:00,6.3
2011-01-25 02:00:00,3.7
2011-01-25 04:00:00,3.2
2011-01-25 05:00:00,6.6
2011-01-25 06:00:00,31.0
2011-01-25 07:00:00,78.0
2011-01-25 08:00:00,181.0
2011-01-25 09:00:00,118.3
2011-01-25 10:00:00,58.5
2011-01-25 11:00:00,58.7
2011-01-25 12:00:00,78.0
2011-01-25 13:00:00,81.5
2011-01-25 14:00:00,71.8
2011-01-25 15:00:00,69.4
2011-01-25 16:00:00,85.7
2011-01-25 17:00:00,204.9
2011-01-25 18:00:00,184.8
2011-01-25 19:00:00,116.2
2011-01-25 20:00:00,67.0
2011-01-25 21:00:00,52.6
2011-01-25 22:00:00,38.1
2011-01-25 23:00:00,23.6
2011-01-26 00:00:00,6.9
2011-01-26 01:00:00,7.2
2011-01-26 02:00:00,4.1
2011-01-26 05:00:00,4.1
2011-01-26 06:00:00,33.3
2011-01-26 07:00:00,87.0
2011-01-26 08:00:00,181.4
2011-01-26 09:00:00,105.9
2011-01-26 10:00:00,55.1
2011-01-26 11:00:00,39.1
2011-01-26 12:00:00,38.3
2011-01-26 13:00:00,39.0
2011-01-26 14:00:00,39.0
2011-01-26 15:00:00,36.7
2011-01-26 16:00:00,52.2
2011-01-26 17:00:00,119.0
2011-01-27 16:00:00,70.2
2011-01-27 17:00:00,142.8
2011-01-27 18:00:00,136.8
2011-01-27 19:00:00,103.4
2011-01-27 20:00:00,66.6
2011-01-27 21:00:00,50.4
2011-01-27 22:00:00,32.0
2011-01-27 23:00:00,20.4
2011-01-28 00:00:00,8.1
2011-01-28 01:00:00,7.2
2011-01-28 02:00:00,6.3
2011-01-28 03:00:00,3.4
2011-01-28 05:00:00,5.6
2011-01-28 06:00:00,27.8
2011-01-28 07:00:00,75.8
2011-01-28 08:00:00,204.1
2011-01-28 09:00:00,107.2
2011-01-28 10:00:00,53.5
2011-01-28 11:00:00,57.5
2011-01-28 12:00:00,59.2
2011-01-28 13:00:00,59.2
2011-01-28 14:00:00,52.7
2011-01-28 15:00:00,51.1
2011-01-28 16:00:00,51.9
2011-01-28 17:00:00,148.5
2011-01-28 18:00:00,143.8
2011-01-28 19:00:00,108.8
2011-01-28 20:00:00,69.8
2011-01-28 21:00:00,49.0
2011-01-28 22:00:00,38.1
2011-01-28 23:00:00,24.9
2011-01-29 00:00:00,34.0
2011-01-29 01:00:00,21.0
2011-01-29 02:00:00,16.6
2011-01-29 03:00:00,12.5
2011-01-29 04:00:00,3.3
2011-01-29 06:00:00,5.1
2011-01-29 07:00:00,14.5
2011-01-29 08:00:00,18.9
2011-01-29 09:00:00,27.2
2011-01-29 10:00:00,53.9
2011-01-29 11:00:00,59.9
2011-01-29 12:00:00,80.1
2011-01-29 13:00:00,83.3
2011-01-29 14:00:00,82.8
2011-01-29 15:00:00,75.7
2011-01-29 16:00:00,82.8
2011-01-29 17:00:00,76.9
2011-01-29 18:00:00,65.8
2011-01-29 19:00:00,59.7
2011-01-29 20:00:00,53.5
2011-01-29 21:00:00,38.2
2011-01-29 22:00:00,26.0
2011-01-29 23:00:00,15.1
2011-01-30 00:00:00,29.3
2011-01-30 01:00:00,23.4
2011-01-30 02:00:00,20.7
2011-01-30 03:00:00,11.9
2011-01-30 04:00:00,5.4
2011-01-30 05:00:00,4.9
2011-01-30 07:00:00,14.2
2011-01-30 08:00:00,18.7
2011-01-30 09:00:00,28.0
2011-01-30 10:00:00,47.6
2011-01-30 11:00:00,58.5
2011-01-30 12:00:00,102.2
